NewID,Area,Veg_Com_No,Veg_Area,Per_Area,
469,189111.37,8,92873.47,0.4911,
469,189111.37,1,24185.94,0.1279,
469,189111.37,4,34404.39,0.1819,
470,66796.17,3,811.36,0.0121,
470,66796.17,8,26670.11,0.3993,
470,66796.17,1,16381.6,0.2452,
470,66796.17,2,22933.11,0.3433,
471,128581.45,7,3644.92,0.0283,
471,128581.45,8,111603.08,0.868,
471,128581.45,4,118.22,0.0009,
471,128581.45,9,13215.23,0.1028,
472,10653.09,1,10653.09,1,
473,20419.13,8,12089.03,0.592,
473,20419.13,4,35.45,0.0017,
473,20419.13,-1,8294.65,0.4062,
474,5486.79,1,4252.66,0.7751,
474,5486.79,-1,1234.13,0.2249,
475,8324.23,7,2121.35,0.2548,
475,8324.23,4,6202.88,0.7452,
476,11825.74,7,8815.88,0.7455,
476,11825.74,4,972.08,0.0822,
476,11825.74,6,2037.78,0.1723,
477,58725.28,7,15764.73,0.2684,
477,58725.28,-1,42960.55,0.7316,
478,10748.16,1,7381.15,0.6867,
478,10748.16,4,3329.96,0.3098,
478,10748.16,9,37.05,0.0034,
479,11849.89,7,9182.25,0.7749,
479,11849.89,8,104.6,0.0088,
479,11849.89,4,2563.05,0.2163,
480,8359.77,7,6258.56,0.7487,
480,8359.77,4,2101.21,0.2513,
481,22456.29,8,20658.37,0.9199,
481,22456.29,2,1797.91,0.0801,
482,5843.95,1,4623.01,0.7911,
482,5843.95,-1,1220.94,0.2089,
483,20087.27,8,11582.13,0.5766,
483,20087.27,4,176.33,0.0088,
483,20087.27,-1,8328.81,0.4146,
484,11874.05,7,7898.02,0.6651,
484,11874.05,8,3063.46,0.258,
484,11874.05,4,912.57,0.0769,
485,8395.31,7,7778.24,0.9265,
485,8395.31,4,617.06,0.0735,
486,10843.24,1,507.26,0.0468,
486,10843.24,4,5507.56,0.5079,
486,10843.24,9,4828.43,0.4453,
487,58007.99,3,122.25,0.0021,
487,58007.99,7,18040.88,0.311,
487,58007.99,2,2597.84,0.0448,
487,58007.99,-1,37247.02,0.6421,
488,6201.12,1,4993.51,0.8053,
488,6201.12,-1,1207.61,0.1947,
489,22219.61,8,22219.61,1,
490,11898.21,7,4296.78,0.3611,
490,11898.21,8,7587.79,0.6377,
490,11898.21,4,13.64,0.0011,
491,19755.4,8,10316.38,0.5222,
491,19755.4,4,1075.03,0.0544,
491,19755.4,-1,8363.99,0.4234,
492,8430.84,7,8109.92,0.9619,
492,8430.84,4,320.93,0.0381,
493,11005.78,4,278.3,0.0253,
493,11005.78,9,10727.48,0.9747,
494,6558.29,1,1302.95,0.1987,
494,6558.29,4,3529.93,0.5382,
494,6558.29,-1,1194.17,0.1821,
494,6558.29,9,531.24,0.081,
495,11907.7,7,383.64,0.0322,
495,11907.7,8,10875.82,0.9133,
495,11907.7,4,648.24,0.0544,
496,56323.8,3,3880.94,0.0689,
496,56323.8,7,16786.35,0.298,
496,56323.8,8,106.81,0.0019,
496,56323.8,2,5405.02,0.096,
496,56323.8,-1,30144.68,0.5352,
497,8466.38,7,6921.33,0.8175,
